siteid,id,content,createTime
10000,f19e8b8b-9233-4491-8466-934d3ac2b279,"[2023/06/01 16:31:17]:Nash: Hi, welcome. What can I do for you?
[2023/06/01 16:31:17]:Visitor: Hello sir
[2023/06/01 16:31:17]:Nash: Yes?
[2023/06/01 16:31:17]:Visitor: I have a denied transfer admission.
[2023/06/01 16:31:17]:Visitor: Bit I met assured admission req?
[2023/06/01 16:31:17]:Visitor: What is wrong?
[2023/06/01 16:31:17]:Nash: Let me check. Your name please?
[2023/06/01 16:31:17]:Visitor: Peter Parker.
[2023/06/01 16:31:17]:Nash: OK. Please wait. 
[2023/06/01 16:31:17]:Nash: Hi Peter, I’ve checked your admission, it meets the “assured admission” of UH, but it does not meet the requirement of the major you wanted. For Cullen/Business, you need a 3.25 overall, compared to CLASS where you need a 2.5. 
[2023/06/01 16:31:17]:Nash: I think you may consider changing your major and apply again. 
[2023/06/01 16:31:17]:Visitor: OK, thank you for your help. ",6/1/2023 16:31
10000,f19e8b8b-9233-4491-8466-934d3ac2b280,"[2023/06/01 16:31:17]:Nash: Hello, good morning. How may I help you?
[2023/06/01 16:31:17]:Visitor: I am currently a student at UH College of Education. Want to transfer to the Bauer business school.
[2023/06/01 16:31:17]:Nash: Sure. You can do that. May I know your name please? 
[2023/06/01 16:31:17]:Visitor: Daniel Smith. 
[2023/06/01 16:31:17]:Visitor: I will have 34 credits at the end of this semester. The baser information site has confusing gpa requirements. 
[2023/06/01 16:31:17]:Nash: Hi Daniel, it doesn’t matter. I will help you. Please wait. 
[2023/06/01 16:31:17]:Nash: I checked that the transfer to Bauer business school needs 3.25 GPA
[2023/06/01 16:31:17]:Visitor: Oh, but I should have a 3.0 GPA by the end of this semester.
[2023/06/01 16:31:17]:Visitor: Is this OK? Or should I wait till next semester and a higher gpa to change majors?
[2023/06/01 16:31:17]:Nash: Sorry, I think Bauer business is pretty strict about the 3.25, as bauer is becoming more popular and respected. And you cannot change your major to pre-business after you hit 45 credits. So I think you may not be able to do that unless you can get 3.25 GPA by the end of this semester. Sorry for that. 
[2023/06/01 16:31:17]:Visitor: Oh god. 
[2023/06/01 16:31:17]:Visitor: OK. Thanks anyway. 
[2023/06/01 16:31:17]:Nash: You are welcome. ",6/2/2023 16:31
10000,f19e8b8b-9233-4491-8466-934d3ac2b281,"[2023/06/01 16:31:17]:Nash: Hello, Peter. This is advisor David. How can I help you?
[2023/06/01 16:31:17]:Visitor: Hi. 
[2023/06/01 16:31:17]:Visitor: I’m an international student. I have received admission to UH and have been offered a research assistantship by a professor.
[2023/06/01 16:31:17]:Nash: Great. Congrats. What’s your inquiry?
[2023/06/01 16:31:17]:Visitor: I am wondering if I should try to obtain an In-State Tuition waiver before classes begin.
[2023/06/01 16:31:17]:Visitor: I have learned that there is a form that needs to be submitted within the first 10 days of classes.
[2023/06/01 16:31:17]:Nash: Oh, let me check, please wait. 
[2023/06/01 16:31:17]:Nash: Hi Peter, thanks for waiting. I think you will automatically get in-state tuition waiver. You don’t need to do anything. 
[2023/06/01 16:31:17]:Visitor: Wow! That’s great! Thank you!
[2023/06/01 16:31:17]:Nash: You are welcome. Anything else?
[2023/06/01 16:31:17]:Visitor: No, thanks, have a good day! Bye!",6/3/2023 16:31
10000,f19e8b8b-9233-4491-8466-934d3ac2b282,"[2023/06/01 16:31:17]:Nash: Hi, James. My name is Lisa. Glad to assist you. 
[2023/06/01 16:31:17]:Visitor: Hi, Lisa. Nice talking to you. 
[2023/06/01 16:31:17]:Nash: Nice talking to you too. What’s your inquiry?
[2023/06/01 16:31:17]:Visitor: I want to know if transfer admissions only for the fall and summer term?
[2023/06/01 16:31:17]:Nash: No, we have Spring transfer too. Why are you asking?
[2023/06/01 16:31:17]:Visitor: Because while browsing the transfer admissions page, there weren’t any deadlines or talk of admission for the spring term. 
[2023/06/01 16:31:17]:Visitor: So Will I be able to transfer for spring 2023?
[2023/06/01 16:31:17]:Nash: Yes.  The deadline won’t be posted until the fall class is in. But you will have this chance in Spring 2023. 
[2023/06/01 16:31:17]:Visitor: Great. Thank you. ",6/4/2023 16:31
10000,f19e8b8b-9233-4491-8466-934d3ac2b283,"[2023/06/01 16:31:17]:Nash: Hi, Masminos. This is Bob. How can I help you?
[2023/06/01 16:31:17]:Visitor: Hi Bob, I applied exactly 1 month ago to Bauer & still haven’t heard back. 
[2023/06/01 16:31:17]:Nash: Let me see. 
[2023/06/01 16:31:17]:Nash: Sorry, seems I cannot fine your profile. What is your real name please?
[2023/06/01 16:31:17]:Visitor: Oh, Daniel Wong. 
[2023/06/01 16:31:17]:Nash: OK. Please wait. 
[2023/06/01 16:31:17]:Nash: Hi Daniel, thanks for waiting. I checked your application. Seems it is still in reviewing process. Have you checked with admissions office about this?
[2023/06/01 16:31:17]:Visitor: Not yet. 
[2023/06/01 16:31:17]:Nash: OK. Basically it needs one month. If you haven’t heard back yet, you can call the admission office to confirm. Do you have their phone number?
[2023/06/01 16:31:17]:Visitor: OK. Yes. I have their number. Thank you very much. ",6/5/2023 16:31
10000,f19e8b8b-9233-4491-8466-934d3ac2b284,"[2023/06/01 16:31:17]:Nash: Hi dear Oden, this is Mary. What can I do for you?
[2023/06/01 16:31:17]:Visitor: Hi Mary. 
[2023/06/01 16:31:17]:Visitor: I applied to UH in November and got accepted, but I'm worried that my grades in AP Cal and AP Bio will put my acceptance in jeopardy.
[2023/06/01 16:31:17]:Nash: Why do you worry about that?
[2023/06/01 16:31:17]:Visitor: I didn't manage to do well in those specific classes. I don't necessarily need them to graduate high school and I'm worried about how it will affect me. 
[2023/06/01 16:31:17]:Visitor: From what I've seen on this sub, I will only get rescinded if I don't graduate high school? I don't really know. 
[2023/06/01 16:31:17]:Nash: Ah. Don’t worry, if you can graduate high school, that will be fine. 
[2023/06/01 16:31:17]:Visitor: So it really only affects me if I don’t graduate High School?
[2023/06/01 16:31:17]:Nash: Yes.  If you got accepted already, it won’t affect you.
[2023/06/01 16:31:17]:Visitor: Great. Thank you. ",6/6/2023 16:31
10000,f19e8b8b-9233-4491-8466-934d3ac2b285,"[2023/06/01 16:31:17]:Nash: Hi Raymond, this is Lisa. Good morning. How can I help you today?
[2023/06/01 16:31:17]:Visitor: Hi I’m a senior in hs, just got rejected. Checked my application status on the portal and it said I did not meet admission requirements.
[2023/06/01 16:31:17]:Visitor: I’m a little confused because UH was the one school I was certain I could get into. I have a 3.8 GPA, top 20%. 
[2023/06/01 16:31:17]:Nash: OK, let me check. What’s your full name please?
[2023/06/01 16:31:17]:Visitor: Raymond Watson
[2023/06/01 16:31:17]:Nash: OK, please wait. 
[2023/06/01 16:31:17]:Nash: Hi Raymond, thanks for waiting. I checked that you did not submit test scores. Is this correct?
[2023/06/01 16:31:17]:Visitor: Yes. But it says the test scores are optional?
[2023/06/01 16:31:17]:Nash: Yes. It is optional. But UH only uses core classes for test-optional admissions. I think your GPA includes electives. So after recalculation your final GPA is 2.8 which does not meet the minimal requirement for the Major you applied for. 
[2023/06/01 16:31:17]:Visitor: Oh god. What should I do?
[2023/06/01 16:31:17]:Nash: Sorry for that. I think if you want you can try to apply again for another major which does not have a very high requirement. Or you can try to forward your application to other universities. 
[2023/06/01 16:31:17]:Visitor: OK. Got it. Thank you all the same. ",6/7/2023 16:31
10000,f19e8b8b-9233-4491-8466-934d3ac2b286,"[2023/06/01 16:31:17]:Nash: Hi, David here. How can I help you?
[2023/06/01 16:31:17]:Visitor: Hi, I was rejected from my major for my fall 2023 application. 
[2023/06/01 16:31:17]:Nash: Yes? 
[2023/06/01 16:31:17]:Nash: Hello? Are you still there?",6/8/2023 16:31
10000,f19e8b8b-9233-4491-8466-934d3ac2b287,"[2023/06/01 16:31:17]:Nash: Good afternoon. How can I help you?
[2023/06/01 16:31:17]:Visitor: Hi, I want to decline my admission. How to do that?
[2023/06/01 16:31:17]:Nash: OK. Before that would you tell me why you want to decline it?
[2023/06/01 16:31:17]:Visitor: I got admitted from UT and decide to go there. 
[2023/06/01 16:31:17]:Nash: OK. Congrats. Yes you can decline your admission. Just go to the A&M portal and click the “decline” button of you admission there. 
[2023/06/01 16:31:17]:Visitor: OK. Thank you. ",6/9/2023 16:31
10000,f19e8b8b-9233-4491-8466-934d3ac2b288,"[2023/06/01 16:31:17]:Nash: Hi there. This is Peter. What can I do for you?
[2023/06/01 16:31:17]:Visitor: Jay Mark
[2023/06/01 16:31:17]:Visitor: Want to check if I am not accepted into computer science. 
[2023/06/01 16:31:17]:Visitor: Just got an email says I meet the requirements for Supply Chain & Logist T, BS
[2023/06/01 16:31:17]:Nash: Hi Jay, yes I checked and you are accepted by Supply Chain & Logist T, BS as major. That was also a major selected in your application.
[2023/06/01 16:31:17]:Visitor: How can I get to CS if I want?
[2023/06/01 16:31:17]:Nash: Even if you aren't accepted into the major, you can still take the lower level courses while you work toward meeting the requirements to switch. If you do well on core courses then you can try to switch majors. It won’t be too hard. 
[2023/06/01 16:31:17]:Visitor: OK. Thanks sir. ",6/10/2023 16:31
