Name,Province,City,Language,Year established,Undergraduate students[33],Undergraduate students[33],Graduate students[33],Graduate students[33],Total full-time students[33]
University of King's College,Nova Scotia,Halifax,English,1788,840.0,40.0,90.0,0.0,930
Laurentian University / Université Laurentienne,Ontario,"Sudbury, Hearst, Kapuskasing, Timmins",Bilingual,1960,,,,,0
McMaster University,Ontario,Hamilton,English,1887,30400.0,1300.0,4700.0,930.0,35100
Nipissing University,Ontario,"North Bay, Bracebridge, Brantford",English,1992,3600.0,1400.0,170.0,0.0,3770
Ontario College of Art and Design University,Ontario,Toronto,English,1876,9300.0,730.0,230.0,80.0,9530
Queen's University at Kingston,Ontario,Kingston,English,1841,23600.0,3600.0,5600.0,1000.0,29200
Royal Military College of Canada / Collège militaire royal du Canada,Ontario,Kingston,Bilingual,1876,1150.0,710.0,400.0,400.0,1550
Toronto Metropolitan University,Ontario,Toronto,English,1948,30600.0,14300.0,2700.0,270.0,33300
Trent University,Ontario,"Peterborough, Oshawa",English,1963,10200.0,1600.0,670.0,170.0,10870
Université de Hearst,Ontario,"Hearst, Timmins, Kapuskasing",French,1953,,,,,0
Université de l'Ontario français,Ontario,Toronto,French,2018,,,,,0
Université de Sudbury,Ontario,Sudbury,French,1913,,,,,0
University of Guelph,Ontario,"Guelph, Toronto, Ridgetown",English,1964,24400.0,3600.0,2900.0,280.0,27300
Ontario Tech University,Ontario,Oshawa,English,2002,9300.0,730.0,750.0,270.0,10050
University of Ottawa / Université d'Ottawa,Ontario,Ottawa,Bilingual,1848,34300.0,5900.0,7100.0,1500.0,41400
University of Toronto,Ontario,"Toronto, Mississauga",English[note 4],1827,69400.0,6400.0,20000.0,1600.0,89400
University of Waterloo,Ontario,"Waterloo, Cambridge, Kitchener, Stratford",English,1957,34700.0,1300.0,4800.0,1400.0,39500
University of Western Ontario,Ontario,London,English,1878,,,,,0
University of Windsor,Ontario,Windsor,English,1857,10200.0,1600.0,5800.0,10.0,16000
Wilfrid Laurier University,Ontario,"Waterloo, Brantford, Toronto, Kitchener",English,1911,16700.0,3600.0,1100.0,1100.0,17800
York University,Ontario,Toronto,English[note 5],1959,41000.0,5700.0,4600.0,1500.0,45600
University of Prince Edward Island,Prince Edward Island,Charlottetown,English,1969,4650.0,340.0,550.0,0.0,5200
École de technologie supérieure[note 6],Quebec,Montreal,French,1974,4340.0,1590.0,2390.0,520.0,6730
École nationale d'administration publique[note 6],Quebec,"Quebec City, Montreal, Gatineau, Saguenay, Trois-Rivières",French,1969,,,810.0,1190.0,810
Institut national de la recherche scientifique[note 6],Quebec,"Quebec City, Montreal, Laval, Varennes",French,1969,,,580.0,50.0,580
McGill University,Quebec,"Montreal, Ste-Anne-de-Bellevue",English,1821,24140.0,2810.0,7910.0,1700.0,32050
Université de Montréal,Quebec,Montreal,French,1878,23890.0,7860.0,11310.0,2740.0,35200
Université de Sherbrooke,Quebec,Sherbrooke,French,1954,11650.0,2170.0,5410.0,6080.0,17060
Université du Québec en Abitibi-Témiscamingue[note 6],Quebec,"Rouyn-Noranda, Mont-Laurier",French,1970,1030.0,3350.0,350.0,520.0,1380
Université du Québec en Outaouais[note 6],Quebec,"Gatineau, Saint-Jérôme",French,1970,3140.0,1780.0,810.0,710.0,3950
Université du Québec à Chicoutimi[note 6],Quebec,Chicoutimi,French,1969,3540.0,1080.0,1340.0,430.0,4880
Université du Québec à Montréal[note 6],Quebec,Montreal,French,1969,16500.0,10010.0,4610.0,4130.0,21110
Université du Québec à Rimouski[note 6],Quebec,"Rimouski, Lévis",French,1969,2550.0,2580.0,850.0,580.0,3400
Université du Québec à Trois-Rivières[note 6],Quebec,Trois-Rivières,French,1969,7270.0,3940.0,2030.0,1500.0,9300
Université Laval,Quebec,Quebec City,French,1663,22060.0,11370.0,9290.0,4970.0,31350
University of Regina,Saskatchewan,"Regina, Saskatoon, Swift Current",English[note 7],1911,,,,,0
University of Saskatchewan,Saskatchewan,Saskatoon,English,1907,17260.0,1560.0,3040.0,530.0,20300
Yukon University,Yukon,Whitehorse,English,1983[note 8],,,,,0
